period,underlying_asset,avg_weight,avg_weight_prev,d_avg_weight
2025-03-31,Warrants/Rights,3.63674757444269e-05,2.9145958934844596e-05,7.221516809582303e-06
2025-06-30,Commodity (ETF),0.001081908863763755,0.0012604253984161162,-0.0001785165346523611
2025-06-30,Debt,0.007759829794208864,0.00754339011144658,0.0002164396827622839
2025-06-30,Equity,0.8187906844642526,0.8259679785516408,-0.0071772940873882085
2025-06-30,Equity (ETF),0.022984080458079675,0.026861669894568636,-0.0038775894364889603
2025-06-30,Fixed Income (ETF),0.0010740153043277776,0.0013588837369102008,-0.0002848684325824232
2025-06-30,Options,0.13783542707097068,0.1256527195111195,0.01218270755985118
2025-06-30,Preferred,0.010470740521334598,0.011318565320153715,-0.0008478247988191173
2025-06-30,Warrants/Rights,3.3135230619547427e-06,3.63674757444269e-05,-3.305395268247215e-05
2025-09-30,Commodity (ETF),0.0008088464722062589,0.001081908863763755,-0.0002730623915574962
2025-09-30,Debt,0.00811469156697062,0.007759829794208864,0.0003548617727617562
2025-09-30,Equity,0.8271121165718015,0.8187906844642526,0.008321432107548876
2025-09-30,Equity (ETF),0.023658634994130703,0.022984080458079675,0.0006745545360510273
2025-09-30,Fixed Income (ETF),0.0011853984221414748,0.0010740153043277776,0.00011138311781369722
2025-09-30,Options,0.12877309731998401,0.13783542707097068,-0.00906232975098667
2025-09-30,Preferred,0.010345447968539447,0.010470740521334598,-0.00012529255279515074
2025-09-30,Warrants/Rights,1.766684226015168e-06,3.3135230619547427e-06,-1.5468388359395748e-06
2025-12-31,Commodity (ETF),0.000923390609154697,0.0008088464722062589,0.00011454413694843811
2025-12-31,Debt,0.007770462636412232,0.00811469156697062,-0.0003442289305583884
2025-12-31,Equity,0.8430999279075025,0.8271121165718015,0.01598781133570104
2025-12-31,Equity (ETF),0.029489495353347717,0.023658634994130703,0.005830860359217014
2025-12-31,Fixed Income (ETF),0.0009093195181283977,0.0011853984221414748,-0.0002760789040130771
2025-12-31,Options,0.10731287584120403,0.12877309731998401,-0.02146022147877999
2025-12-31,Preferred,0.010492145772064565,0.010345447968539447,0.00014669780352511742
2025-12-31,Warrants/Rights,2.382362185732574e-06,1.766684226015168e-06,6.156779597174061e-07
2026-03-31,Commodity (ETF),0.0012368988009448464,0.000923390609154697,0.0003135081917901494
2026-03-31,Debt,0.007667358074249704,0.007770462636412232,-0.00010310456216252803
2026-03-31,Equity,0.8441282252641028,0.8430999279075025,0.0010282973566002607
2026-03-31,Equity (ETF),0.024232805638311,0.029489495353347717,-0.005256689715036716
2026-03-31,Fixed Income (ETF),0.0007649293822847582,0.0009093195181283977,-0.0001443901358436395
2026-03-31,Options,0.11125525365010396,0.10731287584120403,0.00394237780889993
2026-03-31,Preferred,0.010706856077056568,0.010492145772064565,0.00021471030499200378
2026-03-31,Warrants/Rights,7.6731129463827e-06,2.382362185732574e-06,5.290750760650125e-06
2026-06-30,Commodity (ETF),0.0005120521485840371,0.0012368988009448464,-0.0007248466523608093
2026-06-30,Debt,0.006953372530857083,0.007667358074249704,-0.0007139855433926203
2026-06-30,Equity,0.8265663109040227,0.8441282252641028,-0.017561914360080144
2026-06-30,Equity (ETF),0.03339880778398442,0.024232805638311,0.00916600214567342
2026-06-30,Fixed Income (ETF),0.0007904105543066925,0.0007649293822847582,2.548117202193429e-05
2026-06-30,Options,0.11924146146142503,0.11125525365010396,0.007986207811321075
2026-06-30,Preferred,0.012534484431602431,0.010706856077056568,0.0018276283545458627
2026-06-30,Warrants/Rights,3.1001852175924267e-06,7.6731129463827e-06,-4.572927728790272e-06
