period,sector,weight_ew,weight_ew_prev,d_qoq,weight_ew_4q,d_yoy,avg_trailing,d_vs_avg,hist_percentile,hist_min,hist_max,weight_bench,active_weight,active_weight_prev,d_active_qoq,overweight_breadth,n_active_managers,n_index_managers,benchmark_name,net_flow,gross_flow,price_effect,n_buyers,n_sellers
2012-06-30,Industrials,0.08462403337590017,0.08505653344917136,-0.0004325000732711831,,,,,0.25,0.08462403337590017,0.08823989039735773,0.10076851938132307,-0.016144486005422898,-0.02114317402441092,0.004998688018988021,0.18604651162790697,43,3,"Índice implícito (managers índice, ponderado por valor)",737537445.8612312,6611948389.323857,-1220065445.8612313,45,42
2012-06-30,Information Technology,0.12107433624883866,0.12116479605617347,-9.045980733481118e-05,,,,,0.75,0.09948181123838598,0.12116479605617347,0.1449823267265566,-0.023907990477717925,-0.02600462867139361,0.0020966381936756845,0.3953488372093023,43,3,"Índice implícito (managers índice, ponderado por valor)",7069076718.809517,16962736113.52375,-5187200718.809517,96,69
2012-06-30,Materials,0.05442119232596786,0.05495543578231937,-0.0005342434563515158,,,,,0.25,0.05442119232596786,0.06195264355819085,0.05263338247943389,0.0017878098465339692,0.00047061340645750127,0.001317196440076468,0.32558139534883723,43,3,"Índice implícito (managers índice, ponderado por valor)",-952628137.396599,2796091834.003884,-1221699862.603401,28,20
2012-06-30,Real Estate,0.02527455989151795,0.02450030574084294,0.0007742541506750092,,,,,0.75,0.02347701690350782,0.027174856855625856,0.03308084934630413,-0.0078062894547861784,-0.009067105486413093,0.0012608160316269143,0.3023255813953488,43,3,"Índice implícito (managers índice, ponderado por valor)",1135928603.81899,2601377451.7485523,31242396.18101006,21,16
2012-06-30,Utilities,0.010327466088072093,0.00822727422638206,0.002100191861690033,,,,,1.0,0.00822176574034595,0.010327466088072093,0.019636354681727336,-0.009308888593655243,-0.010510303563416914,0.0012014149697616716,0.11627906976744186,43,3,"Índice implícito (managers índice, ponderado por valor)",500745512.021175,784647848.5832589,432111487.978825,9,4
2012-09-30,Communication Services,0.06135647042587707,0.06109155565707041,0.0002649147688066622,0.04955093215302272,0.011805538272854355,0.05495381843048844,0.006402651995388635,1.0,0.04955093215302272,0.06135647042587707,0.0693095708374824,-0.00795310041160533,-0.0034521387535863465,-0.004500961658018984,0.32558139534883723,43,3,"Índice implícito (managers índice, ponderado por valor)",670692507.2735834,3842756575.0058765,2429205492.7264166,38,29
2012-09-30,Consumer Discretionary,0.14314078066570335,0.1512970399122098,-0.008156259246506453,0.1514181079664969,-0.008277327300793558,0.1504280161129333,-0.0072872354472299505,0.2,0.14314078066570335,0.1514181079664969,0.15336385837227465,-0.010223077706571299,0.004972267880811454,-0.015195345587382753,0.32558139534883723,43,3,"Índice implícito (managers índice, ponderado por valor)",-1478701492.3406868,12925173161.52973,7499013492.340687,77,67
2012-09-30,Consumer Staples,0.08948799332987863,0.089854543606453,-0.0003665502765743678,0.1152949946693621,-0.02580700133948348,0.10125993086247422,-0.011771937532595589,0.2,0.08948799332987863,0.1152949946693621,0.06334531513690636,0.026142678192972266,0.024052063152485717,0.0020906150404865487,0.37209302325581395,43,3,"Índice implícito (managers índice, ponderado por valor)",93876330.06420046,6426987188.010061,2783128669.9357996,36,53
2012-09-30,Energy,0.08226385172892282,0.08126954732621366,0.000994304402709159,0.0810188615243642,0.0012449902045586214,0.08138286735689143,0.0008809843720313931,0.8,0.07825931712580565,0.08498374345118218,0.08718817798151053,-0.004924326252587707,-0.004867192463279726,-5.7133789307980964e-05,0.16279069767441862,43,3,"Índice implícito (managers índice, ponderado por valor)",1130085294.2796965,4420008833.466211,2115673705.7203035,43,33
2012-09-30,Financials,0.20157822862578634,0.19219314572269564,0.009385082903090702,0.17987727905775533,0.02170094956803101,0.1893777053364171,0.012200523289369242,1.0,0.17987727905775533,0.20157822862578634,0.16513415355179745,0.03644407507398889,0.027363767741203388,0.009080307332785503,0.6511627906976745,43,3,"Índice implícito (managers índice, ponderado por valor)",5989558131.549367,14486868041.603794,9893475868.450634,113,76
2012-09-30,Health Care,0.12362401173992427,0.1285725798450608,-0.004948568105136525,0.1367195180022354,-0.013095506262311124,0.13276871175347296,-0.009144700013548696,0.2,0.12362401173992427,0.1367195180022354,0.11929478036397587,0.0043292313759484,0.0073110771274138425,-0.0029818457514654423,0.4418604651162791,43,3,"Índice implícito (managers índice, ponderado por valor)",503311613.69517326,6529739249.08266,2182239386.3048267,66,62
2012-09-30,Industrials,0.08567244933184827,0.08462403337590017,0.0010484159559480954,0.08823989039735773,-0.0025674410655094626,0.08626504018979386,-0.0005925908579455935,0.6,0.08462403337590017,0.08823989039735773,0.09681857905670617,-0.0111461297248579,-0.016144486005422898,0.004998356280564997,0.18604651162790697,43,3,"Índice implícito (managers índice, ponderado por valor)",385182360.18610233,3960860667.3446646,4337684639.813898,40,43
2012-09-30,Information Technology,0.12375057951286651,0.12107433624883866,0.00267624326402785,0.09948181123838598,0.02426876827448053,0.11181725986953064,0.011933319643335868,1.0,0.09948181123838598,0.12375057951286651,0.1455550652761919,-0.021804485763325374,-0.023907990477717925,0.002103504714392551,0.3953488372093023,43,3,"Índice implícito (managers índice, ponderado por valor)",7739717254.038553,16508320696.928993,8069773745.961447,74,66
2012-09-30,Materials,0.05551789919315644,0.05442119232596786,0.0010967068671885807,0.06195264355819085,-0.006434744365034412,0.057628062582123656,-0.0021101633889672178,0.6,0.05442119232596786,0.06195264355819085,0.05303353620687835,0.002484362986278091,0.0017878098465339692,0.0006965531397441216,0.3023255813953488,43,3,"Índice implícito (managers índice, ponderado por valor)",2463477354.3219514,5080070909.42617,4359734645.678048,23,29
2012-09-30,Real Estate,0.02389051710619383,0.02527455989151795,-0.0013840427853241168,0.027174856855625856,-0.003284339749432024,0.02510668484787364,-0.0012161677416798085,0.4,0.02347701690350782,0.027174856855625856,0.029636281855821345,-0.005745764749627513,-0.0078062894547861784,0.002060524705158665,0.3023255813953488,43,3,"Índice implícito (managers índice, ponderado por valor)",17230075.309196427,1450361102.8214571,91500924.69080357,22,10
2012-09-30,Utilities,0.009717218339842536,0.010327466088072093,-0.0006102477482295577,0.009271104577202918,0.00044611376263961784,0.009011902658000755,0.0007053156818417807,0.8,0.00822176574034595,0.010327466088072093,0.017320681360454993,-0.0076034630206124575,-0.009308888593655243,0.001705425573042785,0.20930232558139536,43,3,"Índice implícito (managers índice, ponderado por valor)",2371876313.9355154,2716647852.7407284,-248004313.93551525,12,5
2012-12-31,Communication Services,0.06386235357441375,0.06135647042587707,0.0025058831485366764,0.05211816915838913,0.011744184416024622,0.05623434882956616,0.007628004744847587,1.0,0.04955093215302272,0.06386235357441375,0.07010109690464093,-0.006238743330227184,-0.00795310041160533,0.001714357081378147,0.32558139534883723,43,3,"Índice implícito (managers índice, ponderado por valor)",1557190888.9955266,4748272051.065012,1840640111.0044734,32,29
2012-12-31,Consumer Discretionary,0.13936949177263563,0.14314078066570335,-0.0037712888930677146,0.1479395545464454,-0.008570062773809756,0.14897056902348732,-0.009601077250851686,0.16666666666666666,0.13936949177263563,0.1514181079664969,0.14596382812709036,-0.006594336354454722,-0.010223077706571299,0.0036287413521165768,0.32558139534883723,43,3,"Índice implícito (managers índice, ponderado por valor)",2281748835.203991,10961438060.191078,-1005592835.2039909,71,72
