period,sector,value_usd,share,share_prev,d_share,value_prev,d_value
2013-12-31,Information Technology,666340436000.0,0.14135332562491307,0.13653249613685586,0.0048208294880572045,572393078000.0,93947358000.0
2013-12-31,Materials,231115589000.0,0.04902742703867753,0.04848750003679612,0.0005399270018814142,203276950000.0,27838639000.0
2013-12-31,Real Estate,123854707000.0,0.026273769056916724,0.02812837167889253,-0.001854602621975808,117924199000.0,5930508000.0
2013-12-31,Utilities,58693846000.0,0.01245094831047669,0.014716515534755448,-0.0022655672242787583,61696899000.0,-3003053000.0
2014-03-31,Communication Services,324623972000.0,0.06623422418815983,0.06370392402869192,0.0025303001594679103,300300685000.0,24323287000.0
2014-03-31,Consumer Discretionary,604181687000.0,0.12327341403837734,0.12410250378215625,-0.0008290897437789047,585019957000.0,19161730000.0
2014-03-31,Consumer Staples,272922460000.0,0.05568537434328505,0.05681003855863294,-0.0011246642153478897,267802867000.0,5119593000.0
2014-03-31,ETF - Broad Equity,183728397000.0,0.03748678128006281,0.03448196382119344,0.003004817458869373,162548187000.0,21180210000.0
2014-03-31,ETF - Commodity,71053239000.0,0.014497253952708402,0.014395897436599763,0.00010135651610863883,67862348000.0,3190891000.0
2014-03-31,ETF - Fixed Income,75803952000.0,0.015466559416987564,0.01577162243441885,-0.00030506301743128683,74347524000.0,1456428000.0
2014-03-31,ETF - International Equity,62062111000.0,0.01266276100387454,0.013357828134170222,-0.0006950671302956828,62968883000.0,-906772000.0
2014-03-31,ETF - Sector,136918805000.0,0.02793604788356462,0.028944722338337368,-0.0010086744547727483,136445597000.0,473208000.0
2014-03-31,Energy,332411407000.0,0.06782312322251927,0.07101911506509075,-0.00319599184257148,334784540000.0,-2373133000.0
2014-03-31,Financials,763812661000.0,0.15584350938330865,0.1499709823136064,0.00587252706970226,706964122000.0,56848539000.0
2014-03-31,Health Care,530210851000.0,0.10818087202792594,0.10979167114892117,-0.0016107991209952377,517558605000.0,12652246000.0
2014-03-31,Industrials,428721463000.0,0.0874736185367662,0.08854426090719696,-0.0010706423704307522,417398184000.0,11323279000.0
2014-03-31,Information Technology,694319745000.0,0.14166461387699356,0.14135332562491307,0.00031128825208048827,666340436000.0,27979309000.0
2014-03-31,Materials,227007196000.0,0.04631711398130986,0.04902742703867753,-0.002710313057367672,231115589000.0,-4108393000.0
2014-03-31,Real Estate,131848294000.0,0.02690149285593243,0.026273769056916724,0.0006277237990157079,123854707000.0,7993587000.0
2014-03-31,Utilities,61525332000.0,0.012553240008223929,0.01245094831047669,0.00010229169774723934,58693846000.0,2831486000.0
2014-06-30,Communication Services,370461613000.0,0.06987712216458108,0.06623422418815983,0.0036428979764212555,324623972000.0,45837641000.0
2014-06-30,Consumer Discretionary,687171669000.0,0.12961553094234377,0.12327341403837734,0.006342116903966424,604181687000.0,82989982000.0
2014-06-30,Consumer Staples,286069642000.0,0.05395895990338944,0.05568537434328505,-0.0017264144398956086,272922460000.0,13147182000.0
2014-06-30,ETF - Broad Equity,190714982000.0,0.03597299592773161,0.03748678128006281,-0.0015137853523312025,183728397000.0,6986585000.0
2014-06-30,ETF - Commodity,74117644000.0,0.01398020059999828,0.014497253952708402,-0.0005170533527101215,71053239000.0,3064405000.0
2014-06-30,ETF - Fixed Income,76450506000.0,0.014420229140734318,0.015466559416987564,-0.0010463302762532458,75803952000.0,646554000.0
2014-06-30,ETF - International Equity,65443843000.0,0.01234413297290984,0.01266276100387454,-0.0003186280309646992,62062111000.0,3381732000.0
2014-06-30,ETF - Sector,145636432000.0,0.027470200402322672,0.02793604788356462,-0.00046584748124194747,136918805000.0,8717627000.0
2014-06-30,Energy,347098877000.0,0.06547040173719133,0.06782312322251927,-0.0023527214853279327,332411407000.0,14687470000.0
2014-06-30,Financials,846487017000.0,0.1596658725816238,0.15584350938330865,0.0038223631983151374,763812661000.0,82674356000.0
2014-06-30,Health Care,567204161000.0,0.10698704821126966,0.10818087202792594,-0.001193823816656281,530210851000.0,36993310000.0
2014-06-30,Industrials,454318327000.0,0.08569432330735735,0.0874736185367662,-0.0017792952294088532,428721463000.0,25596864000.0
2014-06-30,Information Technology,755747969000.0,0.14255051347370515,0.14166461387699356,0.0008858995967115924,694319745000.0,61428224000.0
2014-06-30,Materials,239086879000.0,0.04509698836686601,0.04631711398130986,-0.0012201256144438524,227007196000.0,12079683000.0
2014-06-30,Real Estate,136360231000.0,0.025720507025858836,0.02690149285593243,-0.0011809858300735956,131848294000.0,4511937000.0
2014-06-30,Utilities,59245408000.0,0.011174973242116856,0.012553240008223929,-0.0013782667661070731,61525332000.0,-2279924000.0
2014-09-30,Communication Services,357344904000.0,0.065197531639855,0.06987712216458108,-0.004679590524726079,370461613000.0,-13116709000.0
2014-09-30,Consumer Discretionary,745851944000.0,0.13608059097321662,0.12961553094234377,0.0064650600308728545,687171669000.0,58680275000.0
2014-09-30,Consumer Staples,302919667000.0,0.05526765416967256,0.05395895990338944,0.0013086942662831197,286069642000.0,16850025000.0
2014-09-30,ETF - Broad Equity,192057395000.0,0.03504084694371528,0.03597299592773161,-0.0009321489840163275,190714982000.0,1342413000.0
2014-09-30,ETF - Commodity,68846609000.0,0.012561054931328267,0.01398020059999828,-0.0014191456686700136,74117644000.0,-5271035000.0
2014-09-30,ETF - Fixed Income,77949829000.0,0.014221936246077786,0.014420229140734318,-0.0001982928946565321,76450506000.0,1499323000.0
2014-09-30,ETF - International Equity,66650887000.0,0.012160445735660752,0.01234413297290984,-0.00018368723724908852,65443843000.0,1207044000.0
2014-09-30,ETF - Sector,145565693000.0,0.026558441910913385,0.027470200402322672,-0.0009117584914092869,145636432000.0,-70739000.0
2014-09-30,Energy,356628154000.0,0.06506676069481064,0.06547040173719133,-0.00040364104238069243,347098877000.0,9529277000.0
2014-09-30,Financials,896265514000.0,0.16352352741743845,0.1596658725816238,0.0038576548358146556,846487017000.0,49778497000.0
2014-09-30,Health Care,585382866000.0,0.10680302839148366,0.10698704821126966,-0.00018401981978599657,567204161000.0,18178705000.0
2014-09-30,Industrials,455888257000.0,0.08317675368331501,0.08569432330735735,-0.002517569624042343,454318327000.0,1569930000.0
2014-09-30,Information Technology,784986883000.0,0.14322075554563848,0.14255051347370515,0.0006702420719333357,755747969000.0,29238914000.0
2014-09-30,Materials,255998765000.0,0.04670694165223441,0.04509698836686601,0.0016099532853683998,239086879000.0,16911886000.0
2014-09-30,Real Estate,126552535000.0,0.023089493686375216,0.025720507025858836,-0.00263101333948362,136360231000.0,-9807696000.0
2014-09-30,Utilities,62067659000.0,0.011324236378264487,0.011174973242116856,0.00014926313614763154,59245408000.0,2822251000.0
2014-12-31,Communication Services,425948983000.0,0.07287126187875895,0.065197531639855,0.007673730238903942,357344904000.0,68604079000.0
2014-12-31,Consumer Discretionary,787291540000.0,0.13468967006847254,0.13608059097321662,-0.0013909209047440751,745851944000.0,41439596000.0
2014-12-31,Consumer Staples,307065849000.0,0.05253276047028958,0.05526765416967256,-0.0027348936993829773,302919667000.0,4146182000.0
2014-12-31,ETF - Broad Equity,200947412000.0,0.03437804072350812,0.03504084694371528,-0.00066280622020716,192057395000.0,8890017000.0
2014-12-31,ETF - Commodity,67961987000.0,0.011626922354872275,0.012561054931328267,-0.0009341325764559913,68846609000.0,-884622000.0
2014-12-31,ETF - Fixed Income,78580048000.0,0.013443457983918812,0.014221936246077786,-0.0007784782621589742,77949829000.0,630219000.0
