period,sector,manager_type,value_usd,share,share_prev,d_share,value_prev,d_value
2022-06-30,Materials,Hedge Fund - Value,17095000.0,0.013291803090042928,0.0106615444148414,0.0026302586752015283,16779000.0,316000.0
2022-06-30,Real Estate,Asset Manager - Index/Active,57942046000.0,0.018586898067972583,0.01846875651269903,0.000118141555273555,68556694000.0,-10614648000.0
2022-06-30,Unclassified,Asset Manager - Index/Active,953069540000.0,0.30572973539231807,0.30668017061518643,-0.0009504352228683621,1138407916000.0,-185338376000.0
2022-06-30,Unclassified,Hedge Fund - Activist,590091000.0,0.5103529454499538,1.0,-0.4896470545500462,57964000.0,532127000.0
2022-06-30,Unclassified,Hedge Fund - Value,737065000.0,0.5730870339024563,0.560666087596352,0.012420946306104352,882369000.0,-145304000.0
2022-06-30,Utilities,Asset Manager - Index/Active,33041269000.0,0.010599120005866939,0.009358198167259933,0.0012409218386070058,34737971000.0,-1696702000.0
2022-09-30,Communication Services,Asset Manager - Index/Active,167168557000.0,0.056855066689873474,0.06230900056300113,-0.005453933873127655,194239564000.0,-27071007000.0
2022-09-30,Consumer Discretionary,Asset Manager - Index/Active,229087212000.0,0.07791398663599867,0.06998337943135632,0.007930607204642351,218163363000.0,10923849000.0
2022-09-30,Consumer Discretionary,Hedge Fund - Value,2517000.0,0.0017823860320985276,0.001582264948127368,0.0002001210839711596,2035000.0,482000.0
2022-09-30,Consumer Staples,Asset Manager - Index/Active,131516511000.0,0.044729583947563045,0.045894688839538955,-0.00116510489197591,143070251000.0,-11553740000.0
2022-09-30,Consumer Staples,Hedge Fund - Activist,201408000.0,0.1724055872941958,0.18558587699277226,-0.013180289698576458,214582000.0,-13174000.0
2022-09-30,ETF - Broad Equity,Asset Manager - Index/Active,85551582000.0,0.029096625509749296,0.027140298387265293,0.001956327122484003,84606071000.0,945511000.0
2022-09-30,ETF - Broad Equity,Hedge Fund - Activist,54485000.0,0.04663925178604752,0.1363565208291351,-0.08971726904308758,157661000.0,-103176000.0
2022-09-30,ETF - Commodity,Asset Manager - Index/Active,749478000.0,0.00025490213253795684,0.00021099105476423714,4.3911077773719695e-05,657735000.0,91743000.0
2022-09-30,ETF - Commodity,Hedge Fund - Value,65926000.0,0.04668477614307808,0.058607560194101536,-0.011922784051023455,75377000.0,-9451000.0
2022-09-30,ETF - Fixed Income,Asset Manager - Index/Active,9975975000.0,0.00339289118779383,0.0035316464080732356,-0.00013875522027940578,11009412000.0,-1033437000.0
2022-09-30,ETF - International Equity,Asset Manager - Index/Active,12676801000.0,0.004311458920287592,0.004535419906909445,-0.00022396098662185327,14138535000.0,-1461734000.0
2022-09-30,ETF - Sector,Asset Manager - Index/Active,1452410000.0,0.0004939736807744242,0.0007106706478772868,-0.00021669696710286258,2215416000.0,-763006000.0
2022-09-30,ETF - Thematic,Asset Manager - Index/Active,0.0,0.0,6.145395895292701e-07,-6.145395895292701e-07,2195000.0,-2195000.0
2022-09-30,Energy,Asset Manager - Index/Active,134490499000.0,0.04574105577641232,0.04327156224332816,0.0024694935330841564,134893022000.0,-402523000.0
2022-09-30,Energy,Hedge Fund - Value,229282000.0,0.16236354160175392,0.14210683048616354,0.02025671111559038,182768000.0,46514000.0
2022-09-30,Financials,Asset Manager - Index/Active,301821066000.0,0.1026512230756332,0.10174487961478383,0.0009063434608493626,317175382000.0,-15354316000.0
2022-09-30,Financials,Hedge Fund - Activist,5423000.0,0.004642097135647163,,,,
2022-09-30,Financials,Hedge Fund - Value,183828000.0,0.1301757884420374,0.1631046915127619,-0.03292890307072452,209774000.0,-25946000.0
2022-09-30,Health Care,Asset Manager - Index/Active,328003727000.0,0.11155610904215708,0.11090450514194393,0.0006516039002131546,345729229000.0,-17725502000.0
2022-09-30,Health Care,Hedge Fund - Activist,118822000.0,0.10171183216888571,0.1382134001475471,-0.03650156797866139,159808000.0,-40986000.0
2022-09-30,Health Care,Hedge Fund - Value,24995000.0,0.017699935984228327,0.030164889890687652,-0.012464953906459325,38796000.0,-13801000.0
2022-09-30,Industrials,Asset Manager - Index/Active,78160789000.0,0.026582970810282994,0.027401239405342184,-0.0008182685950591899,85419518000.0,-7258729000.0
2022-09-30,Information Technology,Asset Manager - Index/Active,445283613000.0,0.15144372821871527,0.15543444737481713,-0.003990719156101857,484545074000.0,-39261461000.0
2022-09-30,Information Technology,Hedge Fund - Value,18426000.0,0.013048170451906028,0.00974591860270799,0.0033022518491980374,15338000.0,3088000.0
2022-09-30,Materials,Asset Manager - Index/Active,33091884000.0,0.01125475571170694,0.012011517514841303,-0.0007567618031343627,37444220000.0,-4352336000.0
